Index	HOMO (A)	HOMO (AH)	LUMO (A)	LUMO (AH)	charge (AH)	Charge metal (A)	epsilon	Charge metal (AH)	M-H (AH) max	Charge hydride (AH)	metal centre 	coordination number (AH)	cc_AH	coordination number (A)	cc_A	solvated PA	gas PA	Experimental pKa
23	-8.2286	-9.6213	-6.4071	-7.1429	1	-0.689	36.6	-0.441	1.53175	-0.024	78	4	46	5	51	-0.222666924	-0.185453471	22
24	-8.2761	-9.7719	-4.282	-6.1282	1	-1.099	36.6	-0.634	1.5181533	-0.029	46	4	46	5	51	-0.229151641	-0.188623425	23.2
25	-7.8611	-9.6455	-4.2402	-6.2224	1	-1.046	36.6	-0.619	1.505523	-0.02	46	4	46	3	21	-0.23764789	-0.191270704	22.1
26	-7.6697	-9.4735	-4.0831	-6.0883	1	-0.794	36.6	-0.45	1.5253771	-0.013	46	4	46	4	36	-0.236214032	-0.192071635	27.6
27	-8.0752	-9.7066	-4.1166	-6.0295	1	-1.121	36.6	-0.66	1.4998995	0.002	46	4	46	5	51	-0.225010576	-0.182104365	22.9
28	-8.1419	-9.7348	-5.874	-6.4965	1	-1.11	36.6	-0.657	1.4921514	0.022	46	4	46	4	36	-0.217064089	-0.175893149	19.8
29	-8.0453	-9.6502	-6.3141	-6.9314	1	-1.088	36.6	-0.641	1.4972992	0.003	46	4	46	4	36	-0.217291932	-0.179171673	18.3
30	-8.067	-9.5662	-6.2235	-6.9804	1	-1.087	36.6	-0.657	1.4940737	0.006	46	4	46	5	51	-0.211984849	-0.175457275	18.5
31	-6.4858	-7.5924	-5.8414	-6.3586	0	-0.589	25.5	-0.425	1.5685556	-0.205	45	4	46	5	51	-0.304250034	-0.336017878	44.8
32	-6.7297	-7.8907	-5.882	-6.4911	0	-0.59	25.5	-0.419	1.5592426	-0.199	45	4	46	5	51	-0.295221981	-0.32476838	39.4
33	-6.2109	-7.6367	-5.3859	-5.8429	0	-0.633	25.5	-0.466	1.5347649	-0.098	45	4	46	5	51	-0.301506558	-0.327204637	46
